"","id","meter","feet","perc_meter","perc_feet"
"1","P_10","iamb","free",1,NA
"2","P_100","iamb","4",1,0.86734693877551
"3","P_1000","iamb","4",1,0.857142857142857
"4","P_1001","trochee","4",0.857142857142857,0.714285714285714
"5","P_1002","iamb","4",1,1
"6","P_1004","iamb","4",1,0.88
"7","P_1005","iamb","6",1,0.806451612903226
"8","P_1006","iamb","5",1,0.892857142857143
"9","P_1007","iamb","4",1,0.77
"10","P_1008","iamb","free",1,NA
"11","P_1009","iamb","free",1,NA
"12","P_101","iamb","4",1,0.75
"13","P_1010","iamb","4",1,0.75
"14","P_1011","iamb","4",1,0.910714285714286
"15","P_1013","iamb","4",0.666666666666667,0.772727272727273
"16","P_1014","iamb","4",1,0.771428571428571
"17","P_1015","amphibrach","2",0.6,0.896551724137931
"18","P_1016","iamb","6",1,0.925373134328358
"19","P_1017","iamb","free",1,NA
"20","P_1018","iamb","free",1,NA
"21","P_1019","iamb","free",1,NA
"22","P_102","iamb","4",1,0.8125
"23","P_1020","iamb","6",1,0.875
"24","P_1021","trochee","4",0.833333333333333,1
"25","P_1022","iamb","6",1,0.75
"26","P_1023","iamb","free",1,NA
"27","P_1024","iamb","free",1,NA
"28","P_1025","iamb","free",1,NA
"29","P_1026","iamb","free",0.9,NA
"30","P_1027","anapaest","free",0.833333333333333,NA
"31","P_1028","anapaest","free",0.666666666666667,NA
"32","P_1029","trochee","4",1,0.8
"33","P_103","iamb","4",1,0.828729281767956
"34","P_1030","trochee","5",0.75,0.91566265060241
"35","P_1031","trochee","4",0.75,0.71875
"36","P_1032","iamb","free",1,NA
"37","P_1033","iamb","4",1,0.775
"38","P_1034","iamb","4",0.6,0.9
"39","P_1035","iamb","4",1,0.916666666666667
"40","P_1036","amphibrach","4",1,0.75
"41","P_1037","iamb","4",1,0.833333333333333
"42","P_1038","iamb","5",1,0.857142857142857
"43","P_1039","iamb","4",1,0.8
"44","P_104","iamb","free",1,NA
"45","P_1040","iamb","free",1,NA
"46","P_1041","iamb","4",0.857142857142857,0.772727272727273
"47","P_1042","iamb","4",1,0.757575757575758
"48","P_1043","iamb","free",1,NA
"49","P_1044","iamb","4",1,0.75
"50","P_1045","iamb","4",0.833333333333333,0.896551724137931
"51","P_1046","iamb","free",1,NA
"52","P_1047","iamb","5",0.833333333333333,0.708333333333333
"53","P_1048","trochee","4",1,0.818181818181818
"54","P_1049","iamb","4",1,0.95
"55","P_105","amphibrach","4",1,0.9
"56","P_1050","amphibrach","free",0.8,NA
"57","P_1051","trochee","4",1,0.75
"58","P_1052","trochee","4",0.818181818181818,0.909090909090909
"59","P_1053","iamb","4",1,0.755555555555556
"60","P_1054","amphibrach","4",1,0.886363636363636
"61","P_1055","iamb","4",1,0.75
"62","P_1056","iamb","4",1,0.858823529411765
"63","P_1057","iamb","4",1,0.8
"64","P_1058","iamb","6",1,0.823529411764706
"65","P_1059","iamb","free",0.666666666666667,NA
"66","P_106","anapaest","2",1,0.875
"67","P_1060","trochee","free",0.666666666666667,NA
"68","P_1061","iamb","6",1,0.761904761904762
"69","P_1062","iamb","4",1,0.888888888888889
"70","P_1063","iamb","free",1,NA
"71","P_1064","trochee","4",1,0.840909090909091
"72","P_1065","trochee","4",1,0.833333333333333
"73","P_1066","iamb","4",1,0.886792452830189
"74","P_1067","iamb","4",1,0.886792452830189
"75","P_1068","iamb","5",1,0.8
"76","P_1069","trochee","4",0.666666666666667,0.833333333333333
"77","P_107","trochee","4",0.8,0.847328244274809
"78","P_1070","iamb","6",1,0.75
"79","P_1071","iamb","free",1,NA
"80","P_1073","iamb","free",0.928571428571429,NA
"81","P_1074","iamb","4",0.916666666666667,0.8125
"82","P_1075","iamb","4",1,0.975
"83","P_1076","iamb","4",1,0.837606837606838
"84","P_1077","iamb","4",1,0.886363636363636
"85","P_1078","iamb","free",1,NA
"86","P_1079","amphibrach","free",0.833333333333333,NA
"87","P_108","iamb","5",1,0.909090909090909
"88","P_1081","trochee","4",1,0.821428571428571
"89","P_1082","iamb","free",1,NA
"90","P_1083","iamb","4",0.666666666666667,0.833333333333333
"91","P_1084","iamb","free",0.833333333333333,NA
"92","P_1085","dolnik3","free",1,NA
"93","P_1086","iamb","6",1,0.75
"94","P_1087","amphibrach","4",1,0.784810126582278
"95","P_1088","dolnik3","free",1,NA
"96","P_1089","iamb","4",1,0.75
"97","P_109","trochee","4",1,0.9125
"98","P_1090","iamb","free",1,NA
"99","P_1091","iamb","4",1,0.8
"100","P_1092","anapaest","free",0.8,NA
"101","P_1093","iamb","4",1,0.767241379310345
"102","P_1094","iamb","free",1,NA
"103","P_1095","iamb","free",1,NA
"104","P_1096","iamb","4",0.923076923076923,0.884615384615385
"105","P_1097","iamb","5",1,0.78125
"106","P_1098","iamb","4",1,0.762376237623762
"107","P_1099","iamb","4",1,0.821428571428571
"108","P_11","trochee","4",1,0.75
"109","P_110","iamb","4",1,0.923076923076923
"110","P_1100","amphibrach","free",0.666666666666667,NA
"111","P_1101","iamb","4",0.8,0.95
"112","P_1102","iamb","4",1,0.896551724137931
"113","P_1103","iamb","free",0.75,NA
"114","P_1104","iamb","5",1,0.85
"115","P_1105","iamb","free",1,NA
"116","P_1106","iamb","free",0.555555555555556,NA
"117","P_111","anapaest","free",0.75,NA
"118","P_112","iamb","4",1,0.837209302325581
"119","P_1122","iamb","free",1,NA
"120","P_1123","iamb","4",1,0.769230769230769
"121","P_1124","iamb","4",1,0.771428571428571
"122","P_1125","amphibrach","4",0.9,0.916666666666667
"123","P_1126","anapaest","free",1,NA
"124","P_1127","dolnik2","free",0.571428571428571,NA
"125","P_1128","iamb","5",0.857142857142857,0.714285714285714
"126","P_113","iamb","6",0.909090909090909,0.704545454545455
"127","P_1130","trochee","4",1,0.733333333333333
"128","P_1131","iamb","6",1,0.928571428571429
"129","P_1132","iamb","free",0.75,NA
"130","P_1133","iamb","free",1,NA
"131","P_1134","iamb","4",1,0.838235294117647
"132","P_1135","iamb","free",1,NA
"133","P_1136","dolnik3","free",0.714285714285714,NA
"134","P_1137","iamb","4",1,0.9
"135","P_1138","trochee","4",0.666666666666667,0.75
"136","P_1139","iamb","5",1,0.711267605633803
"137","P_114","iamb","4",1,0.791666666666667
"138","P_1140","iamb","3",1,0.75
"139","P_1141","trochee","4",0.777777777777778,0.868421052631579
"140","P_1142","iamb","4",1,0.85
"141","P_1143","iamb","4",0.923076923076923,0.807692307692308
"142","P_1144","iamb","free",1,NA
"143","P_1145","iamb","6",1,0.8
"144","P_1146","anapaest","free",0.769230769230769,NA
"145","P_1147","iamb","5",1,0.738461538461539
"146","P_1153","iamb","free",1,NA
"147","P_1158","iamb","free",1,NA
"148","P_1159","dolnik3","3.66666666666667",1,0.733333333333333
"149","P_116","trochee","free",1,NA
"150","P_1160","trochee","4",1,0.837209302325581
"151","P_1161","iamb","free",1,NA
"152","P_1162","iamb","free",1,NA
"153","P_1164","iamb","free",0.75,NA
"154","P_1165","iamb","3",1,0.825
"155","P_1166","anapaest","3",1,0.972222222222222
"156","P_1167","iamb","4",1,0.75
"157","P_1168","iamb","free",1,NA
"158","P_1169","trochee","4",1,0.75
"159","P_117","trochee","4",1,0.826923076923077
"160","P_1170","iamb","free",1,NA
"161","P_1171","iamb","free",1,NA
"162","P_1172","iamb","4",1,0.75
"163","P_1173","iamb","4",1,0.964285714285714
"164","P_1174","iamb","free",1,NA
"165","P_1175","trochee","4",1,0.90625
"166","P_1176","amphibrach","6",1,0.88235294117647
"167","P_1177","iamb","free",1,NA
"168","P_1178","iamb","free",1,NA
"169","P_1179","dolnik3","free",1,NA
"170","P_118","iamb","4",0.75,0.75
"171","P_1180","trochee","4",0.666666666666667,0.75
"172","P_1181","amphibrach","3",0.888888888888889,0.819444444444444
"173","P_1182","iamb","free",0.866666666666667,NA
"174","P_1183","anapaest","3",1,0.875
"175","P_1184","iamb","5",1,0.9375
"176","P_1185","iamb","4",1,0.825
"177","P_1186","iamb","5",0.75,0.878787878787879
"178","P_1187","iamb","4",1,0.75
"179","P_1188","trochee","4",1,0.78125
"180","P_1189","trochee","free",0.555555555555556,NA
"181","P_1191","dolnik3","1.66666666666667",0.6,0.8
"182","P_1192","iamb","6",1,1
"183","P_1193","iamb","4",1,0.9375
"184","P_1194","amphibrach","free",1,NA
"185","P_1195","iamb","5",1,0.875
"186","P_1196","iamb","4",1,0.75
"187","P_1197","trochee","free",1,NA
"188","P_1198","iamb","5",1,0.875
"189","P_1199","iamb","4",1,0.833333333333333
"190","P_12","trochee","4",0.95,0.891414141414141
"191","P_120","iamb","free",1,NA
"192","P_1201","trochee","3",1,0.75
"193","P_1202","trochee","3",0.666666666666667,0.916666666666667
"194","P_1203","iamb","free",1,NA
"195","P_1204","iamb","4",0.8,0.916666666666667
"196","P_1205","amphibrach","4",0.8,0.8
"197","P_1206","iamb","free",1,NA
"198","P_1207","iamb","6",1,0.833333333333333
"199","P_1209","dolnik3","1.66666666666667",1,0.928571428571429
"200","P_121","iamb","free",1,NA
"201","P_1210","iamb","4",1,0.875
"202","P_1211","iamb","6",1,0.928571428571429
"203","P_1212","iamb","4",1,1
"204","P_1213","iamb","4",1,1
"205","P_1214","iamb","free",1,NA
"206","P_122","trochee","4",1,0.816326530612245
"207","P_123","amphibrach","4",1,0.875
"208","P_1232","iamb","6",1,0.8
"209","P_1233","trochee","4",0.692307692307692,0.863247863247863
"210","P_1234","dolnik3","3.66666666666667",1,0.764705882352941
"211","P_1235","iamb","6",0.8,0.85
"212","P_1236","iamb","5",1,0.740740740740741
"213","P_1237","trochee","4",1,1
"214","P_1239","trochee","4",0.75,0.875
"215","P_124","iamb","6",1,0.739130434782609
"216","P_1240","iamb","free",1,NA
"217","P_1241","iamb","4",0.714285714285714,0.785714285714286
"218","P_1242","iamb","4",1,0.78125
"219","P_1243","iamb","4",1,0.806451612903226
"220","P_1244","trochee","free",0.666666666666667,NA
"221","P_1245","iamb","6",1,0.8
"222","P_1246","trochee","4",0.666666666666667,0.75
"223","P_1247","trochee","4",0.818181818181818,0.795454545454545
"224","P_1248","dolnik3","2",0.75,0.9375
"225","P_1249","anapaest","3",0.833333333333333,0.916666666666667
"226","P_125","iamb","4",1,0.92
"227","P_1250","amphibrach","3",1,0.875
"228","P_1251","trochee","4",1,0.817708333333333
"229","P_1252","iamb","4",1,0.777777777777778
"230","P_1253","iamb","4",1,1
"231","P_1254","iamb","free",1,NA
"232","P_1255","trochee","4",1,0.890625
"233","P_1256","iamb","4",1,0.730769230769231
"234","P_1257","trochee","4",1,0.95
"235","P_1258","iamb","4",1,0.733333333333333
"236","P_1259","trochee","6",0.708333333333333,0.8125
"237","P_126","iamb","free",0.75,NA
"238","P_1260","dolnik3","free",1,NA
"239","P_1261","iamb","free",1,NA
"240","P_1262","iamb","free",1,NA
"241","P_1263","iamb","free",1,NA
"242","P_1264","iamb","free",1,NA
"243","P_1265","iamb","free",1,NA
"244","P_1266","trochee","4",0.875,0.829787234042553
"245","P_1267","iamb","4",1,0.875
"246","P_1268","iamb","free",1,NA
"247","P_1269","iamb","4",1,0.875
"248","P_127","iamb","6",1,0.861111111111111
"249","P_1270","iamb","free",1,NA
"250","P_1271","iamb","4",1,0.768115942028985
"251","P_1272","iamb","free",1,NA
"252","P_1273","trochee","4",0.8,0.8
"253","P_1274","iamb","5",1,1
"254","P_1275","iamb","6",1,0.75
"255","P_1276","iamb","4",1,0.875
"256","P_1277","iamb","free",1,NA
"257","P_1278","iamb","free",1,NA
"258","P_1279","iamb","free",1,NA
"259","P_128","iamb","5",1,0.857142857142857
"260","P_1280","iamb","4",1,0.910714285714286
"261","P_1281","iamb","free",1,NA
"262","P_1282","dolnik3","free",1,NA
"263","P_1283","iamb","4",1,0.75
"264","P_1284","iamb","4",1,0.833333333333333
"265","P_1285","trochee","4",1,0.916666666666667
"266","P_1286","iamb","free",1,NA
"267","P_1287","iamb","6",1,0.795454545454545
"268","P_1288","trochee","4",1,0.9
"269","P_1289","iamb","6",1,0.75
"270","P_129","iamb","free",1,NA
"271","P_1290","iamb","free",0.666666666666667,NA
"272","P_1291","amphibrach","4",0.857142857142857,0.803571428571429
"273","P_1292","iamb","free",1,NA
"274","P_1293","iamb","4",1,0.958333333333333
"275","P_1294","trochee","4",1,0.75
"276","P_1295","iamb","free",1,NA
"277","P_1296","iamb","4",1,0.724137931034483
"278","P_1297","iamb","6",1,0.861111111111111
"279","P_1298","iamb","free",1,NA
"280","P_1299","iamb","free",1,NA
"281","P_13","trochee","4",1,0.884615384615385
"282","P_1300","iamb","free",1,NA
"283","P_1301","iamb","free",1,NA
"284","P_1302","iamb","4",1,0.8
"285","P_1303","iamb","free",1,NA
"286","P_1304","iamb","free",1,NA
"287","P_1305","iamb","free",0.933333333333333,NA
"288","P_1306","iamb","4",1,0.933333333333333
"289","P_1307","iamb","free",1,NA
"290","P_1308","iamb","4",1,0.95
"291","P_1309","iamb","4",1,0.75
"292","P_131","iamb","4",0.857142857142857,0.738095238095238
"293","P_1310","iamb","free",1,NA
"294","P_1311","iamb","6",1,0.9375
"295","P_1312","trochee","4",1,0.916666666666667
"296","P_1313","iamb","free",1,NA
"297","P_1314","anapaest","1",1,0.958333333333333
"298","P_1315","iamb","4",1,0.9
"299","P_1316","iamb","free",1,NA
"300","P_1317","anapaest","free",0.875,NA
"301","P_1318","trochee","4",1,0.928571428571429
"302","P_1319","iamb","free",1,NA
"303","P_132","amphibrach","4",1,0.782608695652174
"304","P_1320","iamb","free",1,NA
"305","P_1321","iamb","free",1,NA
"306","P_1322","iamb","free",1,NA
"307","P_1323","iamb","free",1,NA
"308","P_1324","trochee","free",0.866666666666667,NA
"309","P_1325","iamb","free",1,NA
"310","P_1326","iamb","free",1,NA
"311","P_1327","iamb","4",1,0.916666666666667
"312","P_1328","iamb","free",1,NA
"313","P_1329","dolnik2","free",1,NA
"314","P_133","iamb","4",0.8,0.886363636363636
"315","P_1330","anapaest","free",1,NA
"316","P_1331","iamb","free",1,NA
"317","P_1332","iamb","4",1,0.875
"318","P_1333","iamb","4",1,0.9375
"319","P_1334","iamb","free",1,NA
"320","P_1335","iamb","3",1,0.9
"321","P_1336","iamb","6",1,0.75
"322","P_1337","iamb","4",1,0.88235294117647
"323","P_1338","iamb","4",0.75,0.75
"324","P_1339","dolnik3","free",1,NA
"325","P_134","iamb","free",1,NA
"326","P_1340","iamb","4",1,0.783783783783784
"327","P_1341","iamb","free",1,NA
"328","P_1342","iamb","4",1,0.9
"329","P_1343","dolnik3","free",1,NA
"330","P_1344","iamb","4",1,0.875
"331","P_1345","trochee","4",1,0.875
"332","P_1346","iamb","free",1,NA
"333","P_1347","iamb","free",1,NA
"334","P_1348","trochee","free",1,NA
"335","P_1349","dolnik3","free",1,NA
"336","P_135","amphibrach","4",1,0.928571428571429
"337","P_1350","iamb","free",1,NA
"338","P_1351","iamb","free",1,NA
"339","P_1352","iamb","free",1,NA
"340","P_1353","iamb","4",1,0.875
"341","P_1354","iamb","free",1,NA
"342","P_1355","iamb","free",1,NA
"343","P_1356","iamb","4",1,0.833333333333333
"344","P_1357","iamb","free",1,NA
"345","P_1359","trochee","free",1,NA
"346","P_136","iamb","4",1,0.833333333333333
"347","P_1360","iamb","free",1,NA
"348","P_1361","iamb","4",1,0.833333333333333
"349","P_1362","iamb","4",1,0.95
"350","P_1363","iamb","6",1,1
"351","P_1364","iamb","4",1,0.708333333333333
"352","P_1365","iamb","4",1,0.75
"353","P_1366","iamb","6",1,0.75
"354","P_1368","iamb","free",1,NA
"355","P_1369","iamb","4",1,0.714285714285714
"356","P_1370","iamb","4",1,0.875
"357","P_1371","iamb","4",1,0.875
"358","P_1372","iamb","free",1,NA
"359","P_1373","trochee","4",1,0.875
"360","P_1374","iamb","free",1,NA
"361","P_1375","iamb","free",1,NA
"362","P_1376","trochee","4",1,0.75
"363","P_1377","iamb","free",1,NA
"364","P_1378","iamb","free",0.75,NA
"365","P_1380","iamb","free",1,NA
"366","P_1381","anapaest","free",1,NA
"367","P_1382","iamb","free",1,NA
"368","P_1383","iamb","free",1,NA
"369","P_1384","iamb","free",1,NA
"370","P_1385","iamb","4",1,0.8125
"371","P_1386","iamb","free",1,NA
"372","P_1387","iamb","6",1,0.75
"373","P_1388","iamb","free",1,NA
"374","P_1389","iamb","free",1,NA
"375","P_139","trochee","4",0.615384615384615,0.759259259259259
"376","P_1390","iamb","4",1,0.791666666666667
"377","P_1391","iamb","4",1,0.75
"378","P_1392","iamb","free",1,NA
"379","P_1393","trochee","4",0.928571428571429,0.785714285714286
"380","P_1394","iamb","4",1,0.8
"381","P_1395","iamb","free",1,NA
"382","P_1396","trochee","4",1,0.875
"383","P_1397","iamb","free",1,NA
"384","P_1398","iamb","4",1,0.75
"385","P_1399","iamb","4",1,0.875
"386","P_140","trochee","free",0.586206896551724,NA
"387","P_1400","iamb","free",1,NA
"388","P_1401","trochee","4",1,1
"389","P_1402","iamb","free",1,NA
"390","P_1403","iamb","free",1,NA
"391","P_1405","iamb","6",1,0.75
"392","P_1406","iamb","free",1,NA
"393","P_1407","trochee","4",1,0.833333333333333
"394","P_1408","iamb","free",1,NA
"395","P_1409","iamb","free",1,NA
"396","P_141","trochee","4",1,0.78125
"397","P_1410","dolnik3","free",1,NA
"398","P_1411","iamb","free",1,NA
"399","P_1412","trochee","4",1,0.875
"400","P_1413","iamb","5",1,0.75
"401","P_1414","iamb","free",1,NA
"402","P_1415","iamb","free",1,NA
"403","P_1416","iamb","free",1,NA
"404","P_1417","trochee","4",1,0.772727272727273
"405","P_1418","iamb","free",1,NA
"406","P_1419","iamb","free",1,NA
"407","P_142","trochee","3",0.9,0.739130434782609
"408","P_1420","iamb","free",1,NA
"409","P_1421","iamb","free",1,NA
"410","P_1423","iamb","free",1,NA
"411","P_1424","trochee","4",1,0.8125
"412","P_1425","iamb","free",1,NA
"413","P_1426","iamb","free",1,NA
"414","P_1427","iamb","4",1,0.833333333333333
"415","P_1428","trochee","4",1,0.866666666666667
"416","P_1429","iamb","free",1,NA
"417","P_1430","iamb","free",1,NA
"418","P_1431","iamb","free",1,NA
"419","P_1432","iamb","free",1,NA
"420","P_1433","iamb","4",1,0.75
"421","P_1434","iamb","4",1,0.75
"422","P_1435","iamb","free",1,NA
"423","P_1436","iamb","6",1,1
"424","P_1437","iamb","4",1,0.878787878787879
"425","P_1438","iamb","free",0.75,NA
"426","P_1439","iamb","6",1,1
"427","P_144","trochee","4",1,0.857142857142857
"428","P_1440","iamb","4",1,0.933333333333333
"429","P_1441","iamb","4",1,1
"430","P_1442","iamb","6",1,0.75
"431","P_1443","iamb","4",1,0.840909090909091
"432","P_1444","iamb","6",1,0.916666666666667
"433","P_1445","iamb","free",1,NA
"434","P_1446","iamb","free",1,NA
"435","P_1447","iamb","free",1,NA
"436","P_1448","iamb","free",1,NA
"437","P_1449","iamb","4",1,1
"438","P_145","amphibrach","4",0.833333333333333,0.861111111111111
"439","P_1450","iamb","free",1,NA
"440","P_1451","iamb","free",1,NA
"441","P_1452","iamb","free",1,NA
"442","P_1453","iamb","6",1,0.869565217391304
"443","P_1455","iamb","free",1,NA
"444","P_1456","iamb","free",0.714285714285714,NA
"445","P_1457","iamb","4",1,1
"446","P_1458","iamb","free",1,NA
"447","P_1459","dolnik3","2.66666666666667",0.571428571428571,0.714285714285714
"448","P_146","anapaest","2",0.625,0.75
"449","P_1460","iamb","4",1,0.789473684210526
"450","P_1462","iamb","free",1,NA
"451","P_1463","iamb","6",1,0.888888888888889
"452","P_1464","iamb","4",1,0.795918367346939
"453","P_1465","iamb","free",1,NA
"454","P_1466","iamb","6",1,0.722222222222222
