;;word;pos;feats
1;;аврора;S;S,имя,жен,од=им,ед
2;1;аврора;S;S,жен,неод=им,ед
3;1;баю;V;V,несов,пе=непрош,ед,изъяв,1-л
4;;баю;S;S,фам,муж,од=дат,ед
5;;борей;S;S,имя,муж,од=твор,ед
6;1;борей;S;S,муж,неод=(вин,ед|им,ед)
7;;бородинской;S;S,фам,жен,од=(пр,ед|дат,ед|род,ед|твор,ед)
8;1;бородинской;A;A,гео=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)
9;1;булат;S;S,муж,неод=(вин,ед|им,ед)
10;;булат;S;S,имя,муж,од=им,ед
11;1;госпожу;S;S,жен,од=вин,ед
12;;госпожу;S;S,жен=вин,ед,од
13;1;граций;S;S,жен,од=(вин,мн|род,мн)
14;;граций;S;S,жен,неод=род,мн
15;;дружечик;S;S,муж,неод=(вин,ед|им,ед)
16;1;дружечик;S;S,муж,од=им,ед
17;;духов;S;S,муж,неод=род,мн
18;1;духов;S;S,муж,од=(вин,мн|род,мн)
19;;истукана;S;S,муж,неод=род,ед
20;1;истукана;S;S,муж,од=(вин,ед|род,ед)
21;1;козаков;S;S,фам,муж,од=(вин,мн|род,мн)
22;;козаков;S;S,фам,муж,од=им,ед
23;1;лев;S;S,муж,од=им,ед
24;;лев;S;S,имя,муж,од=им,ед
25;;лицем;A;A,полн=(пр,ед,муж|пр,ед,сред)
26;1;лицем;S;S,муж,неод=твор,ед
27;1;лука;S;S,жен,неод=им,ед
28;;лука;S;S,имя,муж,од=им,ед
29;1;льва;S;S,муж,од=(вин,ед|род,ед)
30;;льва;S;S,имя,муж,од=(вин,ед|род,ед)
31;;орлов;S;S,фам,муж,од=им,ед
32;1;орлов;S;S,муж,од=(вин,мн|род,мн)
33;1;полканов;S;S,фам,муж,од=(вин,мн|род,мн)
34;;полканов;S;S,имя,муж,од=(вин,мн|род,мн)
35;1;роза;S;S,жен,неод=им,ед
36;;роза;S;S,имя,жен,од=им,ед
37;1;серафим;S;S,муж,од=им,ед
38;;серафим;S;S,имя,муж,од=им,ед
39;1;сокол;S;S,муж,неод=(вин,ед|им,ед)
40;;сокол;S;S,фам,муж,од=им,ед
41;1;султана;S;S,муж,од=(вин,ед|род,ед)
42;;султана;S;S,муж,неод=род,ед
43;1;хана;S;S,имя,жен,од=им,ед
44;;хана;ADV;ADV,прдк=
45;;шатров;S;S,фам,муж,од=им,ед
46;1;шатров;S;S,муж,неод=род,мн
47;1;эгидом;S;S,муж,од=твор,ед
48;;эгидом;S;S,муж,неод=твор,ед