;author;A_ID
1;;
2;С. Лакроа;
3;Н.Л.;
4;С. Локроа;
5;Н. Петровский;
6;Unknown;
7;Полев;
8;Пл. Редкин;
9;И...ъ ;
10;А. Кульчицкий;A-33
11;Ваш. - ;
12;Д.Л.;
13;И...ъ;
14;А. Грен;A-271
15;А.-ий;
16;Н. Грен;A-42
17;Н.С.;
18;Н.С. ;
19;А. Левицкий;
20;А. Лоренц;
21;А. В-в;
22;А.П.;
23;А. Вар-ов;
24;П-в;
25;Н. Кукольник;A-162
26;Федор Глинка;A-41
27;В. Соколовский;A-49
28;Д. Струйский;A-95
29;Николай Степанов;A-277
30;Иван Козлов;A-113
31;Л. Якубович;A-50
32;А. Струговщиков;A-147
33;Г. Е. Р...а;A-153
34;Барон Розен;A-168
35;Бернет;A-37
36;П. Ершов;A-143
37;В Соколовский;A-49
38;Кн. Вяземский;A-150
39;Е. Гребенка;A-163
40;Г.Е. Р...а;A-153
41;А.С. Пушкин;A-11
42;В. Бенедиктов;A-18
43;В-ра М-ва;A-202
44;А. Кольцов;A-7
45;Эдуард Губер;A-159
46;Ш.;
47;Кн. Э. Мещерский;
48;В. Туманский;A-167
49;И. Пожарский;A-221
50;А. Подолинский;A-46
51;В. Филимонов;A-201
52;П. Алексеев;A-121
53;Княгиня Зинаида Волконская;A-227
54;И. Козлов;A-113
55;Федор Кони;A-146
56;К. Айбулат;A-161
57;М. Сорокин;A-144
58;С. Раич;
59;Чижов;
60;Б. Федоров;A-29
61;Петр Ершов;A-143
62;Ф. Глинка;A-41
63;Ив. Козлов;A-113
64;Валерий Нормской;A-196
65;Авдотья Глинка;A-189
66;Семен Стромилов;A-51
67;-В.;
68;Н. Степанов;A-277
69;Ф. Слепушкин;A-117
70;Н. Пожарский;A-221
71;Дмитрий Давыдов;
72;Князь Э. Мещерский;
73;В. Бенедиктов ;A-18
74;М. Деларю;A-4
75;Е. Гребенка ;A-163
76;Д. Сушков;A-77
77;Л. Якубович ;A-50
78;Н-в ;
79;Н. Корсаков;A-250
80;К. ;
81;А. Илличевский;
82;Н. Яковлев;
83;А. Полежаев ;A-26
84;Д. Минаев;A-211
85;Д. Минаев ;A-211
86;Unknown ;
87;Н. Бобылев;A-62
88;П. Смирнов;
89;А. Полежаев;A-26
90;В. Д. шк. в.;
91;Э. Надеждина;
92;К. Ф...л...н;
93;П. Митрофанов;
94;Барон Раутенфельс;
95;Р. Зацвилиховский, Минск. Гим.;
96;А. Керсиновский, Мин. Гим.;
97;М. Оссовецкий, Вил. Двор. Инст;
98;Н. Зайцев, Минск. Гим.;
99;Л. Площинский, Вил. Двор. Инст.;
100;И. Оссовецкий, Вил. Двор. Инст.;
101;Л. Плошинский, Вил. Двор. Инст;
102;Л. Плошинский, Вил. Двор. Инст.;
103;Н. Зайцов, Мин. Гим.;
104;Г. Зенкович, Мин. Гим.;
105;Ф. Шабловский, Мин. Гим.;
106;А. Черневский, Мин. Гим.;
107;М. Рава, Мин. Гим.;
108;Кс. Микульский, Мин. Гим.;
109;Юлиян Семенкевич, Мин. Гим.;
110;Николай Степанов ;A-277
111;М. Максимович ;A-104
112;Раич;
113;В. Машеева ;A-202
114;М. Чистяков ;
115;Князь А. Мещерский;
116;Т, Дымчевич;
117;Г. Головачов ;A-205
118;М. Максимович;A-104
119;К. Зеленецкий ;
120;Н. Кирилов ;
121;В. Григорьев;
122;М. Чистяков;
123;Т. Дымчевич;
124;В. Макшеева ;A-202
125;В-р П-в;
126;* * * ;
127;- - - ва;A-169
128;Село Анна. Апреле, 1839;A-153
129;К. Аксаков;A-226
130;Елизавета Шахова;A-101
131;П. Ободовский;A-127
132;Николай Гербановский;
133;Александр Чужбинский;
134;В-в;
135;Князе Вяземский;A-150
136;Адвотья Глинка;A-189
137;Село Анна. Ноябрь 1838;A-153
138;Иван Чеславский;
139;В.Г.;
140;Щеткин;A-256
141;М. Лермонтов;A-114
142;М.;
143;Внязь Вяземский;A-150
144;Мих. Дмитриев;
145;И. К.;
146;Ив. Галанин;A-260
147;М. ;
148;А. Пушкин;A-11
149;П. Корсаков;A-250
150;П. КОрсаков;A-250
151;Е. Бернет;A-37
152;А. Романов;
153;А. Мейснер;A-24
154;А. Р-ъ;
155;А. В-ой;
156;И. Соколов;
157;А. А-ва;
158;* * *;
159;А. Милюков;
160;Крешев;
161;И. Илимов;
162;Я. Папкович;
163;Н. Теплова;A-78
164;В. Домонтович;
165;Г. Лукашевич;A-206
166;В. Красов;A-152
167;Жуковский;A-19
168;И.;
169;Ершов П.;A-143
170;Гребенка Е.;A-163
171;Комсин С.;
172;Лебедев В. ;A-8
173;А. Маркович;
174;Якубович Л.;A-50
175;Глебов А.;A-177
176;С. Комсин;
177;Деревицкий;
178;А.;
179;В. Лебедев;A-8
180;Безмолвный;
181;Анна Смирнова;A-48
182;Е.В, А…а;A-60
183;*…а;A-60
184;Девица Онисимова;A-75
185;Надежда Теплова;A-78
186;Елизавета Кульман;A-96